word	meaning	sent_lc	sent_en
ke (conj., adv.)	1. that<br>2. than<br>3. until, so much that<br>4. in order that, so that<br>5. if<br>6. only, just	1. Li té si boulversé ke nou té gen traka pou kalmen li.<br>2. Madam Bro pli malad jordi ke yer.<br>3. Ça! Vyè nonm-la ri ke lê lanm koulé dan sô zyé!<br>4. Va laba payé lê patat, yé tro tou dan ta, ke yé pe sheshé.<br>5. Mo asht;e ìn shar ke mo gen plu darjan.<br>6. La vou met diz gout parigori si çé ìn piti ìn anz. Ìn piti sis mwa, ke senk gout.	1. He was so upset we had trouble calming him down.<br>2. Mrs. Breaux is more sick today than she was yesterday.<br>3. The old man laughed until there were tears flowing from his eyes.<br>4. Go spread out the potatoes, they're too heaped together, so they can dry out.<br>5. I would buy a car if I had more money.<br>6. Then you put in ten drops of parigoric, for a child that's a year old. For a six month old child, only five drops.
(la)ke (n.)	tail	Mo frær gen ìn lake de ìn lapin é li di mô, "Chombo ça parske sa donn to bon lashans."	My brother has a rabbit's tail and he told me, "Hold on to that because it will give you good luck."<br>
kèk (adj.)	1. some<br>2. deep fried bread dough (for making beignets)	1. Mo toujou met kek shevret endan mô gombo.<br>2. M'ap fé ìn kek dou.	1. I always put a few shrimp in my gumbo.<br>2. I'm making a sweet cake.
kèk plas (n.)	somewhere	Mo pèd mô pòt-mònè. Li bliyé kek-plas.	I lost my wallet. It's forgotten somewhere.
kèk zæfær (n.)	something (lit.: some affair)	Yé t;e sèr ça pou dòn lê moun ki té boukou malad, ki gen&nbsp; fison pòtrino kèk-zafè.	They gave that to people who were really sick, who had pneumonia or something.
kèkènn (pron.)	1. someone<br>2. some, a few	1. Toujou yé gen kekenn ki pa konton.<br>2. Kekenn té levey é lòt té basé.	1. There are always some people who are not happy.<br>2. Some where raised up and others were lowered.
kèkènn dòt (pron.)	someone else	To mandé ça kekenn dòt déja?	Did you ask that to anyone else yet?
kèl (conj.)	which, what	Ça tou depen kèl aj li gen.	It all depends how old he is.
kèl...? (conj.)	what....? (thing)		
kèstyon (n.)	question	L'apé mandé mo tou vyè kèstyon lontem pasé.	He asks me all these old questions about long ago.
ki ça? (conj.)	What is that? Who is that?		
ki çe ça? (conj.)	What is that? Who is that?		
ki (conj.)	1. who, whom<br>2. what<br>3. who, which, that<br>4. which, what	1. Ki to wa yer?<br>2. Li mandé li ki çé ça li t'apé parlé pou.<br>3. Fenm-la ap bat sô zyé-yé kom kekenn ki fol.<br>4. A ki magazen lantour isi moun-yé sé ashté lê zot zafè?	1. Who did you see yesterday?<br>2. He asked him what he was talking about.<br>3. That woman is batting her eyes like a crazy person.<br>4. At which store around here did people buy other things?
ki moun (conj.)	who	Mo pa koné ki moun li té, li té gen ìn mak en sô figi.	I couldn't tell who she was, she had a mask on.
ki ki	what		
kilot (n.)	everyday pants&nbsp;	Mo kilot ap froté apré mô janm.	My pants are rubbing against my legs.
kilot kourt (n.)	shorts		
kìnz (n.)	fifteen	Li kompté yé é jish trouvé kenz.	He counted them and only found fifteen.
kìrèy (n.)	squirrel	To té fé ìn ti kaj apré ìn kìrœy.	You would make a little cage for a squirrel.
kiriyé (adj.)	curious	Alé log yé té kiryé pou koné si bef-yé sé parlé.	The log hauler was curious to know if the oxen would speak.
kishòj (n.)	1. something<br>2. thing	1. To bezwen manjé kekshoj obyin to va tonbé malad.<br>2. Inavé de moun ki té res isi, alantour isi é yé té parl pou tou de kishoj kom ça.	1. You have to eat something or else you'll get sick.<br>2. There used to be people who lived around here who talked about all of those things
kité, kit (v.)	1.&nbsp;to let, to allow<br>2. to leave<br>3. to stop, quit<br>4. to leave, to go away	1. Si moun-yé té fé bal, é mam té pa kité nouzot kouri, mam di "vouzot pa ka kou bal tou lê sanmdi swa".<br>2. Nou kité manjé-la en latab.<br>3. Li bwa pa. Li té konné bwa labyè, mé li jish kité.<br>4. Mo sœr jish kité, li té pa ka resté paskè sô mari malad.	1. If people were holding a dance and mom wouldn't let us go, she'd say "You can't go to a dance every Saturday night".<br>2. We left the food onthe table.<br>3. He doesn't drink. He used to drink beer, but he just quit.<br>4. My sister just left, she couldn't stay because her husband is sick.
kiyær (n.)	spoon	Çé té si bon li lishé sô kiyèr.	It was so good he licked his spoon.
(la)kizinn (n.)	kitchen	Moman apé kwi soupé dan lakizinn.	Mom is cooking kwi supper in the kitchen
klær (adj., adv.)	1. clear (skies, liquid, etc.)<br>2. clear, clarified (of cane syrup, etc)<br>3. light colored<br>4. light, bright (sky)<br>5. clearly	1. Ìn gombo çé kler kom ìn lasoup.<br>2. Ça ki asé klè, aben li les li kouri dot-shoj.<br>3. Mo trouv pa ça isi much, moun klær... to prosh pa ka fé ladiferans from blan.<br>4. Si li fé nwa, si li fé klær, si li fé fret, si li fé sho, ifo pa plérer, ifo pa to pœr.<br>5. Li pa wa klær.	1. A gumbo is as light-colored as a soup.<br>2. It is clarified enough, he lets it run elsewere.<br>3. You don't find that here much, light-skinned people...you almost can't tell them apart from white people.<br>4. If it is dark, if it is light, if it is cold, if it is hot, you must not cry, you must not fear.<br>5. He can't see clearly.
klærmen (adv.)	clearly		
(la)klé (n.)	key	Mo pa koné trouvé mo laklé é mo pa kapab rentré.	I can't find my key and I can't get in.
klo (n.)	field	Ça fé çé té nouzot piti ki té gen édé li endan klo.	So it was us kids who had to help him in the fields.
klo lwil (n. phr.)	oilfield		
klœb (n.)	club, nightclub	Mo nonmen li pou det prézidan nô klòb.	I nominated him to be president of our club.
klou (n.)	nail	Si to klou krosh, to gen pou doné li ìn kou-d-marto pou drwati li.	If your nail is crooked, you've got to hit it with the hammer to straighten it.
klouk (n.)	penis		
klouyé, klouwé (v.)	to nail	Li met serkey-la dan lafos-la é klouwé sô kouvè. Mé li klouwé sô kapo osi.	He put the coffin in the grave and nailed its lid shut. But he nailed his coat as well.
kokiy (n.)	1. shell<br>2. hull (of rice)	1. Mo gen ìn gro bit koki endan lakour pou payé.<br>2. Kokiy-yé, lê kosh-yé. To oté ça, la to vanté li.	1. I have a big mound of shells inmy yard to spread out.<br>2. The rice hulls... you remove them and winnow that.
kokodri (n.)	alligator	Pou koipé sô den-yé, les ti béb;e-la mord si en den kokodri.	For a child who is cutting teeth, let the baby bite on an alligator tooth.
kolær (adj., n.)	1. angry, mad<br>2. anger	1. Mo pa vini kolèr parskè mo koné li t'ap fé fars.<br>2. Kan sanmdi vini, Bouki fé ìn kou-d-kolær.	1. I didn't get angry because I knew he was joking.<br>2. When Saturday came, Bouki had a fit of anger.
kombyin (adv.)	how many, how many	Kombyin ça fé en tou?	How many does that make in total?
komen (conj., adj.)	1. how <br>2. common, of low moral character<br>3. common<br>4. cheap	1. Toushé letòf-çala. Wa koman mou li yé.<br>2. Femn-yé tro komen, çé pou ça vouzot pa maryé.<br>3. Çé pa si komen isis.<br>4. Mé, to ashté zafè-çala? Mé çé ìn zafè komen, ça pa bon.	1. Feel this cloth. See how soft it is.<br>2. Those women are too common (easy), that's why they're not married.<br>3. That's not so common here.<br>4. You bought that? That's a cheap thing, it's no good.
komensé, komens (v.)	to start, to begin	M'olé wa si yé ja é komansé.	I want to see if they've already started.
komod (n.)	toilet, outhouse	Vyè tem pasé, no té gen komod deyor mé no té gen po-d-shanm pou lê swa.	In the olden days, we had toilets outside but we had chamber pots for at night.
(la)kompoñi (n.)	company (visitors)	Mo moman ou mo popa, si yé se gen kompoñi, to koné, piti konm ça-yé té toujou alentour dê vyœ moun-yé.	My mom or my dad, if the had company, yo know, the children always gathered around the adults.
komprenn (v.)	to understand	No pa konprann koman çé té. Çé té ìn mister.	We don't understand how it happened. It was a mystery.
koné (1. v., 2. aux)	1. to know<br>2. to know, be acquainted with<br>3. to do regularly<br>4. to be able to, can<br>5. to know how to	1. Mo pa koné si li mouri astèr.<br>2. Mo koné sô famiy.<br>3. Moun té pa koné malad do konm yé malad astèr-la.<br>4. Moun-çala pa koné wa. Yé aveg.<br>5. Yé pa koné parlé kréol.	1. I don't know if he's dead now.<br>2. I know his family.<br>3. People didn;t get sick like the do now though.<br>4. Those people can't see. They're blind.<br>5. They don't know how to speak Creole.
konm (adj., conj.)	1. like<br>2. as	1. Mo pa rish konm li.<br>2. Yé té prenn ìn legid, é, vloi li osi tight konm yé té kapab.	1. I'm not rich like him.<br>2. They took a rein, and tied it as tight as they could.
konm-çi-kom-ça (adj.)	so-so		
konsèy (n.)	piece of advice	Li don twa ìn bon konsey. Pa alé volé!	He gave you a good piece of advice. Don't go stealing!
kontan (adj.)	happy	M'a byin kontan parské si mô lwé li, mô va gen espwa ashté li.	I will be happy because if I rent it, I'll hopefully be able to buy it.
kontiné (v.)	to continue, to go on	L'ap shagriné mwa. Li kontini repeté tou-l-tan la mem shoj.	He's annoying me. He keeps repeating the same thing all the time.
konværsasyon (n.)	conversation	To krwa mo enbet avek tou moun-yé, don yé konvèsasyon konm m'apé don twa? Mo enbeté pa avek moun-yé.	Do you think I bother with those people, that I give them conversation like I'm giving you? I don't bother with those people.
konyé (v.)	1. to hit, to stike, to bump<br>2. to knock<br>3. to reach, arrive at (a place)	1. Mo sé konyé li si li çé pélé mwa ìn fou.<br>2. Mo alé koté sô lamézon é mo konyé konyé. Li répon pa.<br>3. Yé konyé shmen-la bourbé.	1. I would have hit him if he had called me crazy.<br>2. I went to his house and I knocked and knocked. He didn't answer.<br>3. They arrived at a muddy road.
korish (n.)	rooster	Mô fiy té gen ìn gro korish pou met avek poul-yé.	My daughter had a big rooster to put in with the hens.
koshon (adj., n.)	1. dirty, sloppy<br>2. pig<br>3. whore	1. To laboush tou sal. To tro koshon. To manj koshon.<br>2. Mo linm twa konm ìn ti koshon linm labou.<br>3. Ça çé vyè koshon de fonm. Koké çé tou li fé.	1. Your mouth is all dirty. You're too sloppy. You eat too sloppily.<br>2. I love you like a piglet loves the mud.<br>3. She's a whore. All she does is fuck.
koté (prep.)	1. side<br>2. on the side of (when speaking about family)<br>3. beside, next to<br>4. near<br>5. in, at, into<br>6. to<br>7. around, about, approximately<br>8. at the home of	1. Kan to pant tô frez-yé, to met ìn plastik shak koté pa pou yé toushé latèr-la pa pou li sali yé.<br>2. Li enket pa tro sô paran koté sô pær. Li prefèr sô paran koté sô mær.<br>3. Mo asité a koté de li.<br>4. Li wa ìn nomn ki té kashé dan lashamb sorti é vini shofær koté dìfè.<br>5. Pli lwen yé rantré koté ìn nòt boutik.<br>6. Fé lalézan çé kopé dikann-yé. Pi yé voyé li koté moulen-la.<br>7. Koté d'sis hères.<br>8. Yé parti koté yé, ben amìzé apré labetrasri, malgré la rishes, de sèrten moun.	1. When you plant your strawberries you put plastic on each side so they don't touch the dirt, so it doesn;t get them dirty.<br>2. He doesn't care much for his relatives on his father's side. He prefers his relatives on his mother's side.<br>3. I sat down beside him.<br>4. He saw a man who was hiding in the room come out and warm himself by the fire.<br>5. A little further on, they went into another store.<br>6. Doing the sugar harvest is cutting the cane. They they send it to the mill.<br>7. Around six o'clock.<br>8. They left for home, quite amused by the foolishness of some people, in spite of their wealth.
koton (n.)	cotton	Kan to plant koton to plann lagrenn-yé tou dilon.	When you plant cotton you plant it all along.
kozé, kòz (v.)	1. to chat, talk<br>2. to cause	1. Li vini wa mwa pou kozé ìn ti bren avek mwa.<br>2. Lauzun, mô fis, to pa koné ça moun di?...Eh byin! Yé di çé twa ki koz tou malèr rivé.	1. He came to see me to chat a bit with me.<br>2. Lauzun my son, you don't know what everyone is saying? Well, they're saying that you're the one who caused all of those misfortunes.
kòfær (conj.)	why	Kòfè to pa di mwa konbyen moun inavé?	Why didn't you tell me how many people there were?
kòmærs (conj.)	1. fuss, trouble, goings on<br>2. gossip<br>3. meddling, intervention	1. Met-d-ekol-la li gìn ìn ti sìflé é kan li sìf, piti-yé aret helayé, fé yê komærs.<br>2.&nbsp;<br>3.	1. The school teacher has a whistle and when he whistles, the children stop yelling and their fussing<br>2.<br>3.
(la)kònésans (n.)	1. consciousness <br>2. acquaintance 	1. Li tayé li jiska li té pærdi kònésans.<br>2. To fé lakònésans a li deja?	1. He beat him until he lost consciousness.<br>2. Have you met him already?
kòp (n.)	1. cup<br>2. bucket used for transporting sugar from one level to the next in a sugar factory	1. Mô garson, li li bwa kafé, mé li gen ìn kòp o bòd li. Li gen ìn tas o bòd li.<br>2.	1. My sone drinks coffee, he always has a cup on him.<br>2.
kòrèk (adj.)	1. correct<br>2. agreed, okay	1. To ekri mwa ìn lèt é li té kòrèk.<br>2. Mo wa twa demen? Çé korek.	1. You wrote me a letter and it was correct.<br>2. Will I see you tomorrow? Okay.
kòrn (n.)	horn 	Ìn gro lavash ki gen de lon konn, çé ìn betay endan klo-la.	A big cow with long horns is an animal in the field.
kòton-mayi (n.)	corncob	Yé çé pren ìn bout koton-mayi pou boushé lajòg pou pèshé dez ensèk.	They would take a corncob to plug the jug to keep insects out.
kœr (n.)	1. heart<br>2. core	1. Kan to joué kart, yé gen karo, kèr, pik, é mo pa koné.<br>2. To manj pa kèr deponm.	1. When you play cards, they have diamonds, hearts, spades, and I don't know.<br>2. You don't eat the apple core.
kou (n.)	1. neck<br>2. neck (of a bottle)<br>3. knock, blow, stroke (normal action of something)<br>4. glass, shot, drink	1. Çé ìn ver de tèr ki mordé li dan sô kou en ba sô mashwré.<br>2. Çé kou-la, çé dan kou-la.<br>3. To don li de kou-d-shari epi to fou li en kou-d-splitter dan milyé, to bos middle-la.<br>4.	1. An earth worm bit him in his neck below his jaw.<br>2. It's the neck, it's in the neck of the bottle (the opening).<br>3. You go over it twice with the plow and then you take the splitter through to bust the middle<br>4.
koulœr (n.)	1. color<br>2. black person, person of color	1. Ina plìzyœr koulœr lapen. Ina lapen blan, jon, maran.<br>2. Moun koulè-yé bat, yé kasé ça.	1. There are several colors of rabbits. There are white, yellow, brown rabbits.<br>2. Black people fought and defeated that (racial segregation).
koundjay (n.)	type of dance	Kan to don ìn banko, to kwi, to ashté manjé, to fé doudous, pie. To gen diven. Yé jou kart. Yé dans koundja.	When you give party, you cook, you buy food, you make swets, pies. You have wine. They play cards. They dance the Counjaille.
koupé, koup (v.)	1. to cut<br>2. to cut, chop down, fell<br>3. to cut off, stop, turn off (a machine)<br>4. to castrate<br>5. to operate, perform surgery<br>6. to amputate	1. Si to koup twa, trap ìn lenj, mar li seré, ça va reté.<br>2. L'apé koupé dibwa-la.<br>3. Yé ranpli yé mashin yé-menm. Yé les li kouri, kan li gen asé yé koup li.<br>4. ìn etalonn. Ti wa çé grenn? Ìn nonm vyen la, li koup avek ìn kouto, é pi oté çé grenn.<br>5. Yé é kour koupé en li.<br>6. Yé té gen koupé sô janm.	1. If you cut yourself, grab a rag and tie it tight, it will stop bleeding.<br>2. He's cutting down a tree.<br>3. They fill their machines themselves. They let it (syrup) flow, when they have enough they stop it.<br>4. A stallion. You see his testicles? A man comes along with a knife and then cuts them off.<br>5. They're going to operate on him<br>6. They had amputated his leg.
